motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.995Z", "log.level": "INFO", "message":"loaded module [repository-azure]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.995Z", "log.level": "INFO", "message":"loaded module [repository-gcs]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.995Z", "log.level": "INFO", "message":"loaded module [spatial]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.995Z", "log.level": "INFO", "message":"loaded module [apm]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.995Z", "log.level": "INFO", "message":"loaded module [mapper-version]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.996Z", "log.level": "INFO", "message":"loaded module [mapper-extras]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.996Z", "log.level": "INFO", "message":"loaded module [x-pack-rollup]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.996Z", "log.level": "INFO", "message":"loaded module [percolator]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.996Z", "log.level": "INFO", "message":"loaded module [data-streams]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
motorchik-elasticsearch-1  | {"@timestamp":"2025-11-11T19:59:59.996Z", "log.level": "INFO", "message":"loaded module [x-pack-stack]", "ecs.version": "1.2.0","service.name":"ES_ECS","event.dataset":"elasticsearch.server","process.thread.name":"main","log.logger":"org.elasticsearch.plugins.PluginsService","elasticsearch.node.name":"940cdb4273b5","elasticsearch.cluster.name":"docker-cluster"}
